Code ICD-11,Nom de la maladie
2B90.20,Adenocarcinoma of transverse colon
2B90.2Y,Other specified malignant neoplasm of transverse colon
2B90.2Z,Malignant neoplasm of transverse colon
2B90.30,Adenocarcinoma of sigmoid colon
2B90.3Y,Other specified malignant neoplasm of sigmoid colon
2B90.3Z,Malignant neoplasm of sigmoid colon
2B90.Y,Other specified malignant neoplasms of colon
2B90.Z,Malignant neoplasms of colon
2B91.0,Adenocarcinoma of rectosigmoid junction
2B91.Y,Other specified malignant neoplasms of rectosigmoid junction
2B91.Z,Malignant neoplasms of rectosigmoid junction
2B92.0,Adenocarcinomas of rectum
2B92.1,Neuroendocrine neoplasms of rectum
2B92.Y,Other specified malignant neoplasms of rectum
2B92.Z,Malignant neoplasms of rectum
2B93.0,Adenocarcinoma of large intestine
2B93.Y,Other specified malignant neoplasms of large intestine
2B93.Z,Malignant neoplasms of large intestine
2B9Y,Other specified malignant neoplasms of large intestine
2B9Z,Malignant neoplasms of large intestine
2C00.0,Adenocarcinoma of anus or anal canal
2C00.1,Melanoma of anus or anal canal
2C00.2,Neuroendocrine neoplasm of anus or anal canal
2C00.3,Squamous cell carcinoma of anus or anal canal
2C00.Y,Other specified malignant neoplasms of anus and anal canal
2C00.Z,Malignant neoplasms of anus or anal canal
2C0Y,Other specified malignant neoplasms of intestine
2C0Z,Malignant neoplasms of intestine
2C10.0,Adenocarcinoma of pancreas
2C10.1,Neuroendocrine neoplasms of pancreas
2C10.Y,Other specified malignant neoplasms of pancreas
2C10.Z,Malignant neoplasm of pancreas
2C11.0,Adenocarcinoma of other or ill-defined digestive organs
2C11.1,Mucinous carcinoma of other or ill-defined digestive organs
2C11.2,Other specified malignant neoplasms of other or ill-defined digestive organs
2C11.Z,Malignant neoplasms of other or ill-defined digestive organs
2C12.00,Combined hepatocellular-cholangiocarcinoma
2C12.01,Hepatoblastoma
2C12.02,Hepatocellular carcinoma of liver
2C12.03,Mesothelial carcinoma of liver
2C12.0Y,Other specified malignant neoplasm of liver
2C12.10,Intrahepatic cholangiocarcinoma
2C12.1Y,Other specified malignant neoplasms of intrahepatic bile ducts
2C12.Z,Malignant neoplasms of liver or intrahepatic bile ducts
2C13.0,Adenocarcinoma of the gallbladder
2C13.Y,Other specified malignant neoplasm of gallbladder
2C13.Z,Malignant neoplasms of gallbladder
2C14.0,Adenocarcinoma of proximal biliary tract
2C14.1,Mucinous cystic neoplasm with associated invasive carcinoma of cystic duct
2C14.2,Neuroendocrine neoplasms of cystic duct
2C14.Y,Other specified malignant neoplasms of biliary tract
2C14.Z,Malignant neoplasms of proximal biliary tract
2C15.0,Adenocarcinoma of biliary tract
2C15.1,Mucinous cystic neoplasm with associated invasive carcinoma of distal bile duct
2C15.2,Neuroendocrine neoplasms of distal bile duct
2C15.Y,Other specified malignant neoplasms of biliary tract
2C15.Z,Malignant neoplasms of biliary tract
2C16.0,Adenocarcinoma of ampulla of Vater
2C16.1,Neuroendocrine neoplasms of ampulla of Vater
2C16.Y,Other specified malignant neoplasms of ampulla of Vater
2C16.Z,Malignant neoplasms of ampulla of Vater
2C17.0,Adenocarcinoma of other or unspecified parts of biliary tract
2C17.1,Mucinous cystic neoplasm with associated invasive carcinoma of other or unspecified parts of biliary tract
2C17.2,Neuroendocrine neoplasms of other or unspecified parts of biliary tract
2C17.Y,Other specified malignant neoplasms of overlapping lesion of biliary tract
2C17.Z,Malignant neoplasms of other or unspecified parts of biliary tract
2C18.0,Hilar cholangiocarcinoma
2C18.1,Mucinous cystic neoplasm with associated invasive carcinoma of perihilar bile duct
2C18.2,Neuroendocrine neoplasm of perihilar bile duct
2C18.Y,Other specified malignant neoplasms of perihilar bile duct
2C18.Z,Malignant neoplasms of perihilar bile duct
2C1Z,Malignant neoplasms of digestive organs
2C20.0,Adenocarcinoma of nasal cavity
2C20.1,Malignant neuroepitheliomatous neoplasm of nasal cavity
2C20.2,Melanoma of nasal cavity
2C20.3,Olfactory neuroblastoma
2C20.4,Squamous cell carcinoma of nasal cavity
2C20.Y,Other specified malignant neoplasm of nasal cavity
2C20.Z,Malignant neoplasms of nasal cavity
2C21.0,Adenocarcinoma of middle ear
2C21.1,Squamous cell carcinoma of middle ear
2C21.2,Unspecified malignant epithelial neoplasm of middle ear
2C21.Y,Other specified malignant neoplasm of middle ear
2C21.Z,Malignant neoplasms of middle ear
2C22.0,Adenocarcinoma of accessory sinuses
2C22.10,Squamous cell carcinoma of sphenoidal sinus
2C22.1Y,Squamous cell carcinoma of other specified accessory sinuses
2C22.2,Malignant epithelial neoplasms of accessory sinuses
2C22.3,Melanomas of accessory sinuses
2C22.Y,Other specified malignant neoplasms of accessory sinuses
2C22.Z,Malignant neoplasms of accessory sinuses
2C23.10,Squamous cell carcinoma of larynx
2C23.1Y,Other specified malignant neoplasms of larynx
2C23.20,Squamous cell carcinoma of larynx
2C23.2Y,Other specified malignant neoplasms of larynx
2C23.30,Squamous cell carcinoma of larynx
2C23.31,Adenocarcinoma of larynx
2C23.3Y,Other specified malignant neoplasms of larynx
2C23.4,Malignant neoplasm of laryngeal cartilage
2C23.5,Malignant neoplasm of overlapping lesion of larynx
2C23.Z,Malignant neoplasms of larynx
2C24.0,Adenocarcinoma of trachea
2C24.1,Squamous cell carcinoma of trachea
2C24.2,Malignant epithelial neoplasms of trachea
2C24.Y,Other specified malignant neoplasms of trachea
2C24.Z,Malignant neoplasms of trachea
2C25.0,Adenocarcinoma of bronchus or lung
2C25.1,Small cell carcinoma of bronchus or lung
2C25.2,Squamous cell carcinoma of bronchus or lung
2C25.3,Large cell carcinoma of bronchus or lung
2C25.4,Carcinoid or other malignant neuroendocrine neoplasms of bronchus or lung
2C25.5,Unspecified malignant epithelial neoplasm of bronchus or lung
2C25.Y,Other specified malignant neoplasms of bronchus or lung
2C25.Z,Malignant neoplasms of bronchus or lung
2C26.0,Mesothelioma of pleura
2C26.Y,Other specified malignant neoplasms of the pleura
2C26.Z,Malignant neoplasms of the pleura
2C27.0,Carcinoma of thymus
2C27.1,Carcinoid tumour or other neuroendocrine neoplasms of thymus
2C27.2,Malignant thymoma
2C27.Y,Other specified malignant neoplasms of thymus
2C27.Z,Malignant neoplasms of thymus
2C28.0,Malignant germ cell neoplasms of heart
2C28.1,Other specified malignant neoplasms of heart
2C28.Z,Malignant neoplasms of heart
2C29.0,Squamous cell carcinomas of other and ill-defined sites in the respiratory system and intrathoracic organs
2C29.1,Other specified malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs
2C29.Z,Malignant neoplasms of other or ill-defined sites in the respiratory system or intrathoracic organs
2C2Y,Other specified malignant neoplasms of middle ear
2C2Z,Malignant neoplasms of middle ear
2C30.0,Superficial spreading melanoma
2C30.1,Nodular melanoma
2C30.2,Lentigo maligna melanoma
2C30.3,Acral lentiginous melanoma
2C30.Y,Other specified melanoma of skin
2C30.Z,Melanoma of skin
2C31.0,Verrucous squamous cell carcinoma of skin
2C31.Z,Cutaneous squamous cell carcinoma
2C32.0,Nodular basal cell carcinoma of skin
2C32.1,Sclerosing basal cell carcinoma of skin
2C32.2,Superficial basal cell carcinoma of skin
2C32.Y,Other specified basal cell carcinoma of skin
2C32.Z,Basal cell carcinoma of skin
2C33,Adnexal carcinoma of skin
2C34,Cutaneous neuroendocrine carcinoma
2C35,Cutaneous sarcoma
2C36,Malignant neoplasm of eyelid NOS
2C37,Malignant pilonidal cyst
2C3Y,Other specified malignant neoplasms of skin
2C3Z,Malignant neoplasm of skin of unknown or unspecified type
2C40,Malignant neuroepitheliomatous neoplasms of peripheral nerves or autonomic nervous system
2C41,Malignant perineurioma
2C4Y,Other specified malignant neoplasms of peripheral nerves and autonomic nervous system
2C4Z,Malignant neoplasms of peripheral nerves or autonomic nervous system
2C50.0,Cystic
2C50.Y,Other specified malignant neoplasms of retroperitoneum
2C50.Z,Malignant neoplasms of retroperitoneum
2C51.0,Adenocarcinomas of peritoneum
2C51.1,Cystic
2C51.20,Mesothelioma of mesocolon
2C51.21,Mesothelioma of mesentery
2C51.2Y,Other specified mesotheliomas of peritoneum
2C51.2Z,Mesotheliomas of peritoneum
2C51.Y,Other specified malignant neoplasms of peritoneum
2C51.Z,Malignant neoplasms of peritoneum
2C52.0,Cystic
2C52.Y,Other specified malignant neoplasms of omentum
2C52.Z,Malignant neoplasms of omentum
2C53.0,Adenocarcinoma overlapping lesion of retroperitoneum
2C53.1,Mesothelioma overlapping lesion of retroperitoneum
2C53.Y,Other specified overlapping malignant neoplasm of retroperitoneum
2C53.Z,Overlapping malignant neoplasm of retroperitoneum
2C5Y,Other specified malignant neoplasms of retroperitoneum
2C5Z,Malignant neoplasms of retroperitoneum
2C60,Carcinoma of breast
2C61.0,Invasive ductal carcinoma of breast
2C61.1,Invasive lobular carcinoma of breast
2C61.2,Invasive pleomorphic lobular carcinoma of breast
2C61.3,Invasive carcinoma of breast with mixed ductal and lobular features
2C61.4,Invasive carcinoma of breast
2C62,Inflammatory carcinoma of breast
2C63,Malignant phyllodes tumour of breast
2C64,Solid papillary carcinoma of breast with evidence of invasion
2C65,Hereditary breast and ovarian cancer syndrome
2C6Y,Other specified malignant neoplasms of breast
2C6Z,Malignant neoplasms of breast
2C70.0,Basal cell carcinoma of vulva
2C70.1,Melanoma of vulva
2C70.2,Squamous cell carcinoma of vulva
2C70.Y,Other specified malignant neoplasms of vulva
2C70.Z,Malignant neoplasms of vulva
2C71.0,Adenocarcinoma of vagina
2C71.1,Melanoma of vagina
2C71.2,Squamous cell carcinoma of vagina
2C71.Y,Other specified malignant neoplasms of vagina
2C71.Z,Malignant neoplasms of vagina
2C72.0,Adenocarcinoma of uterine ligament
2C72.1,Mucinous or serous carcinoma of uterine ligament
2C72.2,Malignant neoplasm of overlapping lesion of female genital organs
2C72.3,Carcinosarcomas of uterine ligament
2C72.Y,Other specified malignant neoplasms of uterine ligament
2C72.Z,Malignant neoplasms of uterine ligament
2C73.00,Clear cell adenocarcinoma of ovary
2C73.01,Endometrioid adenocarcinoma of ovary
2C73.02,Low grade serous adenocarcinoma of ovary
2C73.03,High grade serous adenocarcinoma of ovary
2C73.04,Mucinous adenocarcinoma of ovary
2C73.0Y,Other specified carcinomas of ovary
2C73.0Z,Carcinomas of ovary
2C73.1,Dysgerminoma of ovary
2C73.2,Granulosa cell malignant tumour of ovary
2C73.3,Malignant teratoma of ovary
2C73.4,Serous cystadenoma
2C73.5,Endodermal sinus tumour
2C73.Y,Other specified malignant neoplasms of the ovary
2C73.Z,Malignant neoplasms of ovary
2C74.0,Adenocarcinoma of fallopian tube
2C74.Y,Other specified malignant neoplasms of fallopian tube
2C74.Z,Malignant neoplasms of fallopian tube
2C75.0,Malignant trophoblastic neoplasms of placenta
2C75.Y,Other specified malignant neoplasms of placenta
2C75.Z,Malignant neoplasms of placenta
2C76.0,Endometrial endometrioid adenocarcinoma
2C76.1,Endometrial mucinous adenocarcinoma
2C76.2,Endometrial clear cell adenocarcinoma
2C76.3,Endometrial serous adenocarcinoma
2C76.40,Endometrial squamous cell carcinoma
2C76.41,Endometrial small cell carcinoma
2C76.42,Endometrial undifferentiated carcinoma
2C76.43,Carcinosarcoma of uterus
2C76.Y,Other specified malignant neoplasms of corpus uteri
2C76.Z,Malignant neoplasms of corpus uteri
2C77.0,Squamous cell carcinoma of cervix uteri
2C77.1,Adenocarcinoma of cervix uteri
2C77.2,Adenosquamous carcinoma of cervix uteri
2C77.3,Neuroendocrine carcinoma of cervix uteri
2C77.Y,Other specified malignant neoplasms of cervix uteri
2C77.Z,Malignant neoplasms of cervix uteri
2C78,Malignant neoplasms of uterus
2C7Y,Other specified malignant neoplasms of female genital organs
2C7Z,Malignant neoplasms of female genital organs
2C80.0,Choriocarcinoma of testis
2C80.1,Embryonal carcinoma of testis
2C80.2,Germ cell tumour of testis
2C80.3,Intratubular germ cell neoplasia
2C80.4,Malignant teratoma of testis
2C80.5,Mixed seminoma and non-seminomatous germ cell tumour of testis
2C80.6,Non-seminomatous mixed germ cell tumour of testis
2C80.7,Seminoma pure form of testis
2C80.Y,Other specified malignant neoplasms of testis
2C80.Z,Malignant neoplasms of testis
2C81.0,Squamous cell carcinoma of penis
2C81.1,Melanoma of penis
2C81.Y,Other specified malignant neoplasm of penis
2C81.Z,Malignant neoplasms of penis
2C82.0,Adenocarcinoma of prostate
2C82.Y,Other specified malignant neoplasms of prostate
2C82.Z,Malignant neoplasms of prostate
2C83.0,Squamous cell carcinoma of scrotum
2C83.Y,Other specified malignant neoplasms of scrotum
2C83.Z,Malignant neoplasms of scrotum
2C84,Malignant neoplasms of other specified male genital organs
2C8Z,Malignant neoplasms of male genital organs
2C90.0,Renal cell carcinoma of kidney
2C90.Y,Other specified malignant neoplasms of kidney
2C90.Z,Malignant neoplasms of kidney
2C91.0,Urothelial carcinoma of renal pelvis
2C91.Y,Other specified malignant neoplasms of renal pelvis
2C91.Z,Malignant neoplasms of renal pelvis
2C92.0,Urothelial carcinoma of ureter
2C92.Y,Other specified malignant neoplasms of ureter
2C92.Z,Malignant neoplasms of ureter
2C93.0,Adenocarcinoma of urethra or paraurethral gland
2C93.1,Squamous cell carcinoma of urethra or paraurethral gland
2C93.2,Urothelial carcinoma of urethra or paraurethral gland
2C93.Y,Other specified malignant neoplasms of urethra and paraurethral gland
2C93.Z,Malignant neoplasms of urethra or paraurethral gland
2C94.0,Adenocarcinoma of bladder
2C94.1,Squamous cell carcinoma of bladder
2C94.2,Urothelial carcinoma of bladder
2C94.Y,Other specified malignant neoplasms of bladder
2C94.Z,Malignant neoplasms of bladder
2C95.0,Adenocarcinoma of overlapping lesion of urinary organs
2C95.1,Squamous cell carcinomas of overlapping lesion of urinary organs
2C95.2,Urothelial carcinoma of overlapping lesion of urinary organs
2C95.Y,Other specified malignant neoplasms of overlapping lesion of urinary organs
2C95.Z,Malignant overlapping lesion of urinary organs
2C9Y,Other specified malignant neoplasms of urinary tract
2C9Z,Malignant neoplasms of urinary tract
2D00.0,Melanoma of conjunctiva
2D00.1,Malignant neoplasm of caruncle
2D00.2,Squamous cell carcinoma of conjunctiva
2D00.Y,Other specified malignant neoplasm of conjunctiva
2D00.Z,Malignant neoplasm of conjunctiva
2D01.0,Melanoma of cornea
2D01.1,Squamous cell carcinoma of cornea
2D01.Y,Other specified malignant neoplasms of cornea
2D01.Z,Malignant neoplasm of cornea
2D02.0,Adenocarcinoma of retinal pigment epithelium
2D02.1,Malignant neuroepithelial tumours of retina
2D02.2,Retinoblastoma
2D02.Y,Other specified malignant neoplasm of retina
2D02.Z,Malignant neoplasm of retina
2D03.0,Adenocarcinoma of the lacrimal apparatus
2D03.1,Mucoepidermoid carcinoma of lacrimal apparatus
2D03.2,Squamous cell carcinoma of the lacrimal apparatus
2D03.3,Other specified malignant neoplasms of lacrimal apparatus
2D03.Y,Other specified malignant neoplasm of lacrimal apparatus
2D03.Z,Malignant neoplasm of lacrimal apparatus
2D04,Malignant neoplasm of orbit
2D05,Malignant neoplasm of choroid
2D06.0,Adenocarcinoma of ciliary epithelium
2D06.1,Medulloepithelioma
2D06.2,Other specified malignant neoplasm of ciliary body
2D06.3,Malignant neuroepithelial tumours of ciliary body
2D06.Y,Other specified malignant neoplasm of ciliary body
2D06.Z,Malignant neoplasm of ciliary body
2D07.0,Adenocarcinoma of iris epithelium
2D07.1,Malignant neuroepithelial tumours of iris
2D07.Y,Other specified malignant neoplasm of iris
2D07.Z,Malignant neoplasm of iris
2D0Y,Other specified malignant neoplasms of eye and ocular adnexa
2D0Z,Malignant neoplasms of eye or ocular adnexa
2D10.0,Follicular carcinoma of thyroid gland
2D10.1,Papillary carcinoma of thyroid gland
2D10.2,Poorly differentiated carcinoma of thyroid gland
2D10.3,Undifferentiated carcinoma of thyroid gland
2D10.4,Medullary carcinoma of thyroid gland
2D10.5,Parafollicular cell carcinoma of unspecified site
2D10.Y,Other specified malignant neoplasms of thyroid gland
2D10.Z,Malignant neoplasms of thyroid gland
2D11.0,Adenocarcinoma of adrenal gland
2D11.1,Malignant phaeochromocytoma of adrenal gland
2D11.2,Neuroblastoma of adrenal gland
2D11.Y,Other specified malignant neoplasms of adrenal gland
2D11.Z,Malignant neoplasms of adrenal gland
2D12.0,Malignant epithelial neoplasms of other endocrine glands or related structures
2D12.1,Adenocarcinoma of other endocrine glands or related structures
2D12.Z,Malignant neoplasms of other endocrine glands or related structures
2D1Y,Other specified malignant neoplasms of endocrine glands
2D1Z,Malignant neoplasms of endocrine glands
2D3Y,Other specified malignant neoplasms
2D3Z,Malignant neoplasms
2D40,Adenocarcinoma of unspecified site
2D41,Unspecified carcinoma of unspecified site
2D42,Malignant neoplasms of ill-defined sites
2D43,Malignant neoplasms of independent
2D4Y,Other specified malignant neoplasms of ill-defined or unspecified primary sites
2D4Z,Unspecified malignant neoplasms of ill-defined or unspecified sites
2D50,Malignant neoplasm metastasis in brain
2D51,Malignant neoplasm metastasis in meninges
2D52,Malignant neoplasm metastasis in spinal cord
2D60.0,Malignant neoplasm metastasis in lymph nodes of head
2D60.1,Malignant neoplasm metastasis in intrathoracic lymph nodes
2D60.2,Malignant neoplasm metastasis in intra-abdominal lymph nodes
2D60.3,Malignant neoplasm metastasis in axillary lymph nodes
2D60.4,Malignant neoplasm metastasis in inguinal lymph nodes
2D60.5,Malignant neoplasm metastasis in intrapelvic lymph nodes
2D60.Y,Other specified malignant neoplasm metastasis in lymph node of a single region
2D60.Z,Malignant neoplasm metastasis in lymph node of a single region
2D61,Malignant neoplasm metastasis in lymph nodes of multiple regions
2D6Z,Unspecified metastatic malignant neoplasm to unspecified lymph node
2D70,Malignant neoplasm metastasis in lung
2D71,Malignant neoplasm metastasis in mediastinum
2D72,Malignant neoplasm metastasis in pleura
2D73,Malignant neoplasm metastasis in other specified respiratory organs
2D7Y,Malignant neoplasm metastasis in other specified thoracic organs
2D7Z,Malignant neoplasm metastasis in thoracic or respiratory organs
2D80.0,Malignant neoplasm metastasis in liver
2D80.1,Malignant neoplasm metastasis in intrahepatic bile duct
2D80.Y,Other specified malignant neoplasm metastasis in liver or intrahepatic bile duct
2D80.Z,Malignant neoplasm metastasis in liver or intrahepatic bile duct
2D81,Malignant neoplasm metastasis in pancreas
2D82,Malignant neoplasm metastasis in extrahepatic bile ducts
2D83,Malignant neoplasm metastasis in ampulla of Vater
2D84,Malignant neoplasm metastasis in the small intestine
2D85,Malignant neoplasm metastasis in large intestine
2D86,Malignant neoplasm metastasis in anus
2D8Y,Malignant neoplasm metastasis in other specified digestive system organs
2D8Z,Unspecified malignant neoplasm metastasis in digestive system
2D90,Malignant neoplasm metastasis in retroperitoneum
2D91,Malignant neoplasm metastasis in peritoneum
2D9Y,Other specified malignant neoplasm metastasis in retroperitoneum or peritoneum
2D9Z,Malignant neoplasm metastasis in retroperitoneum or peritoneum
2.00E+00,Malignant neoplasm metastasis in kidney or renal pelvis
2.00E+01,Malignant neoplasm metastasis in bladder
2.00E+02,Malignant neoplasm metastasis in other or unspecified urinary system organs
2.00E+03,Malignant neoplasm metastasis in bone or bone marrow
2.00E+04,Malignant neoplasm metastasis in soft tissue
2E05.0,Malignant neoplasm metastasis in ovary
2E05.Y,Malignant neoplasm metastasis in other female reproductive system organs
2E05.Z,Malignant neoplasm metastasis in female reproductive system
2.00E+06,Malignant neoplasm metastasis in male genital organs
2.00E+07,Malignant neoplasm metastasis in adrenal gland
2.00E+08,Metastatic malignant neoplasm involving skin
2.00E+09,Malignant neoplasm metastasis in peripheral nervous system
2E0Y,Malignant neoplasm metastasis in other specified sites
2E2Z,Malignant neoplasm metastases
2E60.0,Carcinoma in situ of lip
2E60.1,Carcinoma in situ of oesophagus
2E60.2,Carcinoma in situ of stomach
2E61.0,Carcinoma in situ of colon
2E61.1,Carcinoma in situ of rectum
2E61.2,Carcinoma in situ of anal canal
2E61.3,Carcinoma in situ of gallbladder
2E61.Y,Carcinoma in situ of other specified digestive organs
2E61.Z,Carcinoma in situ of unspecified digestive organs
2E62.0,Carcinoma in situ of larynx
2E62.1,Carcinoma in situ of trachea
2E62.2,Carcinoma in situ of bronchus or lung
2E62.Y,Carcinoma in situ of other specified sites of middle ear and respiratory system
2E62.Z,Carcinoma in situ of unspecified sites of middle ear and respiratory system
2E63.00,Lentigo maligna
2E63.0Z,Melanoma in situ of skin
2E63.1,Melanoma in situ of conjunctiva
2E63.Y,Other specified melanoma in situ neoplasms
2E63.Z,Melanoma in situ neoplasms
2E64.00,Bowen disease of skin
2E64.01,Actinic intraepidermal squamous cell carcinoma
2E64.0Y,Other specified intraepidermal squamous cell carcinoma
2E64.0Z,Intraepidermal squamous cell carcinoma
2E64.1,Extramammary Paget disease of skin
2E64.2,Carcinoma in situ of anal margin or perianal skin
2E64.Y,Other specified carcinoma in situ of skin
2E64.Z,Carcinoma in situ of skin
2E65.0,Lobular carcinoma in situ of breast
2E65.1,Lobular carcinoma in situ of breast
2E65.2,Ductal carcinoma in situ of breast
2E65.3,Ductal carcinoma in situ of breast
2E65.4,Mixed ductal and lobular carcinoma in situ of breast
2E65.5,Paget disease of nipple
2E65.Y,Other specified carcinoma in situ of breast
2E65.Z,Carcinoma in situ of breast
2E66.0,Cervical Intraepithelial neoplasia grade II
2E66.1,Cervical Intraepithelial neoplasia grade III
2E66.Y,Other specified carcinoma in situ of cervix uteri
2E66.Z,Carcinoma in situ of cervix uteri
2E67.0,Carcinoma in situ of endometrium
2E67.10,Vulvar intraepithelial neoplasia
2E67.11,Vulvar Paget disease
2E67.20,Vaginal intraepithelial neoplasia grade II
2E67.21,Vaginal intraepithelial neoplasia grade III
2E67.2Y,Other specified carcinoma in situ of vagina
2E67.2Z,Carcinoma in situ of vagina
2E67.3,Carcinoma in situ of other or unspecified female genital organs
2E67.40,Squamous cell carcinoma in situ of skin of penis
2E67.41,Squamous cell carcinoma in situ of mucocutaneous epithelium of penis
2E67.5,Carcinoma in situ of prostate
2E67.6,Carcinoma in situ of other or unspecified male genital organs
2.00E+68,Carcinoma in situ of bladder
2.00E+69,Carcinoma in situ of other or unspecified urinary organs
2E6A.0,Carcinoma in situ of the conjunctiva
2E6A.1,Carcinoma in situ of the cornea
2E6A.Y,Carcinoma in situ of other and unspecified part of the eye and adnexa
2E6B,Carcinoma in situ of thyroid and other endocrine glands
2E6Y,Carcinoma in situ of other specified site
2E6Z,Carcinoma in situ of unspecified site
2E80.00,Superficial subcutaneous lipoma
2E80.01,Deep subfascial lipoma
2E80.02,Deep internal or visceral lipoma
2E80.0Y,Other specified lipoma
2E80.0Z,Lipoma
2E80.1,Lipoblastoma
2E80.Y,Other specified benign lipomatous neoplasm
2E80.Z,Benign lipomatous neoplasm
2E81.00,Umbilical cord haemangioma
2E81.01,Conjunctival haemangioma or haemolymphangioma
2E81.0Y,Other specified neoplastic haemangioma
2E81.0Z,Neoplastic haemangioma
2E81.10,Disseminated lymphangiomatosis
2E81.11,Acquired progressive lymphangioma
2E81.1Y,Other specified benign lymphatic neoplasms
2E81.1Z,Benign lymphatic neoplasms
2E81.20,Focal infantile haemangioma
2E81.21,Multifocal infantile haemangioma
2E81.2Y,Other specified benign vascular neoplasms of infancy and childhood
2E81.2Z,Benign vascular neoplasms of infancy and childhood
2E81.Y,Other specified benign vascular neoplasms
2E81.Z,Benign vascular neoplasms
2E82.0,Benign chondrogenic tumours of bone or articular cartilage of limbs
2E82.1,Benign chondrogenic tumours of bone or articular cartilage of other specified sites
2E82.Z,Benign chondrogenic tumours
2E83.0,Benign osteogenic tumours of bone or articular cartilage of skull or face
2E83.1,Benign osteogenic tumours of bone or articular cartilage of lower jaw
2E83.2,Benign osteogenic tumours of bone or articular cartilage of vertebral column
2E83.3,Benign osteogenic tumours of bone or articular cartilage of ribs
2E83.4,Benign osteogenic tumours of bone or articular cartilage of pelvic bones
2E83.5,Benign osteogenic tumours of bone or articular cartilage of limbs
2E83.Y,Other specified benign osteogenic tumours
2E83.Z,Benign osteogenic tumours
2E84.0,Benign fibrogenic or myofibrogenic tumour of skin
2E84.Y,Benign fibrogenic or myofibrogenic tumour of other specified sites
2E84.Z,Benign fibrogenic or myofibrogenic tumour
2E85.0,Benign fibrohistiocytic tumour of soft tissues of limbs
2E85.1,Benign fibrohistiocytic tumour of retroperitoneum or peritoneum
2E85.2,Benign fibrohistiocytic tumour of skin
2E85.Y,Benign fibrohistiocytic tumour of other specified sites
2E85.Z,Benign fibrohistiocytic tumour
2E86.0,Leiomyoma of uterus
2E86.1,Leiomyoma of other or unspecified sites
2E86.2,Rhabdomyoma
2E86.Y,Other specified benign smooth muscle or skeletal muscle tumour
2E86.Z,Benign smooth muscle or skeletal muscle tumour
2.00E+87,Benign gastrointestinal stromal tumour
2.00E+88,Benign endometrial stromal tumour
2E89.0,Benign tumours of uncertain differentiation
2E89.1,Benign tumours of uncertain differentiation
2E89.Y,Other specified benign mesenchymal tumours of uncertain differentiation
2E89.Z,Benign mesenchymal tumours of uncertain differentiation
2E8A,Other mixed or unspecified benign mesenchymal tumours
2E8Y,Benign neoplasm of mesothelial tissue
2E8Z,Benign mesenchymal neoplasms
2E90.0,Benign neoplasm of lip
2E90.1,Benign neoplasm of tongue
2E90.2,Benign neoplasm of floor of mouth
2E90.3,Benign neoplasm of other or unspecified parts of mouth
2E90.4,Benign neoplasm of tonsil
2E90.5,Benign neoplasm of oropharynx
2E90.6,Benign neoplasm of nasopharynx
2E90.7,Benign neoplasm of hypopharynx
2E90.8,Benign neoplasm of pharynx
2E91.0,Benign neoplasm of parotid gland
2E91.1,Benign neoplasm of other specified major salivary glands
2E92.0,Benign neoplasm of oesophagus
2E92.1,Benign neoplasm of stomach
2E92.2,Benign neoplasm of duodenum
2E92.3,Benign neoplasm of other or unspecified parts of small intestine
2E92.40,Polyposis syndrome
2E92.4Y,Other specified benign neoplasm of the large intestine
2E92.4Z,Benign neoplasm of the large intestine
2E92.5,Benign neoplasm of anus or anal canal
2E92.6,Benign neoplasm of gallbladder
2E92.7,Benign neoplasm of liver or intrahepatic bile ducts
2E92.8,Benign neoplasm of pancreas
2E92.9,Benign neoplasm of endocrine pancreas
2E92.A,Benign neoplasm of ill-defined sites within the digestive system
2E92.Y,Benign neoplasm of other specified digestive organs
2E92.Z,Benign neoplasm of unspecified digestive organs
2F00.0,Middle ear endocrine tumour
2F00.1,Recurrent respiratory papillomatosis
2F00.2,Laryngeal endocrine tumour
2F00.Y,Other specified benign neoplasm of middle ear or respiratory system
2F00.Z,Benign neoplasm of middle ear or respiratory system
2F01,Benign neoplasm of intrathoracic organs
2F0Y,Benign neoplasms of other specified respiratory and intrathoracic organs
2F0Z,Benign neoplasms of respiratory and intrathoracic organs
2F10,Benign neoplasm of mesothelial tissue
2F20.00,Multiple benign melanocytic naevi
2F20.0Y,Other specified common acquired melanocytic naevus
2F20.1,Atypical melanocytic naevus
2F20.20,Giant congenital melanocytic naevus
2F20.2Y,Other specified congenital melanocytic naevus
2F20.2Z,Congenital melanocytic naevus
2F20.3,Generalized eruptive melanocytic naevi
2F20.Y,Other specific types of melanocytic naevus
2F20.Z,Melanocytic naevus
2F21.0,Seborrhoeic keratosis
2F21.Y,Other specified benign keratinocytic acanthomas
2F22,Benign neoplasms of epidermal appendages
2F23.0,Dermatofibroma
2F23.Y,Other specified benign dermal fibrous or fibrohistiocytic neoplasms
2F24,Benign cutaneous neoplasms of neural or nerve sheath origin
2F25,Cherry angioma
2F26,Lobular capillary haemangioma
2F2Y,Other specified benign cutaneous neoplasms
2F2Z,Benign cutaneous neoplasm of unspecified type
2F30.0,Tubular adenoma of breast
2F30.1,Lactating adenoma of breast
2F30.2,Intraductal papilloma of breast
2F30.3,Benign phyllodes tumour of breast
2F30.4,Fibromatosis of breast
2F30.5,Fibroadenoma of breast
2F30.6,Extensive adenomatosis nipple
